policy_number,customer_id,first_name,last_name,ssn,email,phone,address,city,state,zip,policy_type,effective_date,expiration_date,annual_premium,payment_frequency,renewal_flag,policy_status,marital_status,agent_id,agency_name,agency_region
PN000107,CIN1107,Sai,Khan,, ,01481-780004,539 MG Road,Hyderabad,Telangana,  500-001  ,RENTERS,2024-04-18,2024/10/15,"142,548.00",ANNUAL,y,Lapsed,Married,A201,Empire Coverage,NY
PN000108,CIN1108,Ayaan,Gupta,819-48-2786,ayaan.guptaexample.com,N/A,256 MG Road,  Kolkata  ,West Bengal,700-016,RENTERS,2024-02-30,2025/08/17,"75,959.00",ANNUAL,N,Lapsed,Separated,A003,Bay State Brokers,NE
PN000109,CIN1109,Sara,Khan,666-16-8494, sara.khan@EXAMPLE.COM ,06298-268618,179 Park Street,Bengaluru,  Karnataka  ,560001,HOME,2024/05/29,2024-11-25,"172,499.00",ANNUAL,y,Lapsed,Divorced,A002,Metro Mutual Partners,NE
PN000110,CIN1110,Reyansh,Nair,112668023,reyansh.nairexample.com,N/A,521 Lodhi Rd,New Delhi,Delhi,110003,RENTERS,2023/04/12,2024/01/07,"-139,227.00",ANNUAL,y,Lapsed,Single,A004,Downtown Assurance,NE
PN000111,CIN1111,Aadhya,Gupta,868-22-8221, aadhya.gupta@EXAMPLE.COM ,08052-132064,  514 MG Road  ,  Kolkata  ,  West Bengal  ,700016,HOME,2024-12-23,2025/09/19,"136,244.00",Monthly,n,Active,Widowed,A001,North Shore Agency,NE
PN000112,CIN1112,Ishita,Gupta,364427224,ishita.guptaexample.com,+91 85891 10634,227 MG Road,Hyderabad,Telangana,500001,AUTO,2024-07-18,2025-04-14,"297,298.00",ANNUAL,N,Active,Married,A201,Empire Coverage,NY
PN000113,CIN1113,Aadhya,Sharma,,aadhya.sharma@example.com,N/A,  532 Park Street  ,Mumbai,Maharashtra,     ,RENTERS,2024-11-02,2025/05/01,"198,347.00",QUARTERLY,y,Lapsed,Separated,A004,Downtown Assurance,NE
PN000114,CIN1114,Ishita,Reddy,, ,,  787 Park Street  ,Hyderabad,  Telangana  ,500-001,RENTERS,2023-10-13,2024-07-09,"117,221.00",Monthly,y,Active,Separated,A002,Metro Mutual Partners,NE
PN000115,CIN1115,Aadhya,Reddy,, aadhya.reddy@EXAMPLE.COM ,,956 Sector 62,  Kolkata  ,  West Bengal  ,700-016,HOME,2023/05/07,2023-11-03,"105,678.00",Monthly,y,Active,Widowed,A101,Sun Valley Insurance,Mid-Atl
PN000116,CIN1116,Diya,Iyer,607-96-5917,diya.iyer@example.com,N/A,813 Lodhi Rd,Mumbai,Maharashtra, ,HOME,2024/04/27,2025-01-22,"-46,441.00",QUARTERLY,N,Active,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000117,CIN1117,Ayaan,Nair,278424840,ayaan.nairexample.com,,693 Lodhi Rd,Jaipur,Rajasthan,  56A012  ,RENTERS,2023-10-28,2024-10-27,"35,352.00",QUARTERLY,Y,Cancelled,Widowed,A001,North Shore Agency,NE
PN000118,CIN1118,Sanvi,Sharma,,sanvi.sharmaexample.com,N/A,696 Sector 62,Chennai,  Tamil Nadu  ,0211O,AUTO,2024-11-16,2025/08/13,"232,523.00",ANNUAL,n,Active,Married,A101,Sun Valley Insurance,Mid-Atl
PN000119,CIN1119,Muhammad,Iyer,624-64-5373, muhammad.iyer@EXAMPLE.COM ,,  559 Lodhi Rd  ,  Lucknow  ,  Uttar Pradesh  ,  0211O  ,RENTERS,2023/04/29,2024/01/24,"7,315.00",ANNUAL,Y,Active,Married,A101,Sun Valley Insurance,Mid-Atl
PN000120,CIN1120,Sanvi,Reddy,579699197, ,,  329 Lodhi Rd  ,  Pune  ,Maharashtra,411001,RENTERS,2024/05/06,2025-05-06,"237,322.00",QUARTERLY,y,Cancelled,Separated,A101,Sun Valley Insurance,Mid-Atl
PN000121,CIN1121,Reyansh,Khan,342114790, reyansh.khan@EXAMPLE.COM ,05281-449682,13 Sector 62,  Bengaluru  ,Karnataka,  560001  ,AUTO,2023-03-11,2024-03-10,"258,709.00",ANNUAL,n,Active,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000122,CIN1122,Muhammad,Iyer,298697020, ,08766-100261,787 MG Road,Hyderabad,  Telangana  ,  500001  ,HOME,2023/07/14,2024/01/10,"266,791.00",Monthly,Y,Cancelled,Separated,A101,Sun Valley Insurance,Mid-Atl
PN000123,CIN1123,Reyansh,Gupta,467461632,reyansh.guptaexample.com,N/A,  98 Lodhi Rd  ,  Kolkata  ,  West Bengal  , ,HOME,2025/03/03,2025-11-28,"151,762.00",QUARTERLY,n,Lapsed,Single,A001,North Shore Agency,NE
PN000124,CIN1124,Reyansh,Mehta,418228452, reyansh.mehta@EXAMPLE.COM ,+91 93055 97737,  72 Lodhi Rd  ,Hyderabad,  Telangana  ,  56A012  ,RENTERS,2025-03-10,2025-09-06,"213,815.00",Monthly,N,Cancelled,Separated,A001,North Shore Agency,NE
PN000125,CIN1125,Anika,Patil,, anika.patil@EXAMPLE.COM ,01922-909556,308 JM Road,Jaipur,  Rajasthan  ,  302-001  ,RENTERS,2024/10/05,2025-10-05,"53,575.00",Monthly,Y,Lapsed,Widowed,A004,Downtown Assurance,NE
PN000126,CIN1126,Ayaan,Iyer,583689632,ayaan.iyerexample.com,N/A,  895 Lodhi Rd  ,Hyderabad,Telangana,  56A012  ,HOME,2023/05/04,2024-01-29,"248,025.00",ANNUAL,n,Active,Married,A201,Empire Coverage,NY
PN000127,CIN1127,Aadhya,Khan,232839141, ,,224 MG Road,New Delhi,Delhi,0211O,AUTO,2023-05-11,2024/05/10,"186,387.00",ANNUAL,n,Cancelled,Separated,A001,North Shore Agency,NE
PN000128,CIN1128,Aditya,Iyer,, ,+91 79342 57489,  968 Park Street  ,Lucknow,  Uttar Pradesh  ,0211O,RENTERS,2024/08/21,2025-08-21,"293,310.00",QUARTERLY,Y,Cancelled,Single,A201,Empire Coverage,NY
PN000129,CIN1129,Sai,Reddy,, ,,  94 Lodhi Rd  ,Jaipur,  Rajasthan  ,  56A012  ,AUTO,2023-08-30,2024-02-26,"98,360.00",ANNUAL,N,Active,Married,A002,Metro Mutual Partners,NE
PN000130,CIN1130,Arjun,Khan,229816231,arjun.khanexample.com,09038-319499,  531 Sector 62  ,  Hyderabad  ,Telangana,  500001  ,HOME,2023-10-20,2024/04/17,"7,230.00",Monthly,n,Lapsed,Separated,A101,Sun Valley Insurance,Mid-Atl
PN000131,CIN1131,Sara,Khan,922-42-2831, sara.khan@EXAMPLE.COM ,08502-551335,61 Sector 62,Noida,UP,201301,AUTO,2024-05-10,2025-02-04,,Monthly,y,Lapsed,Married,A001,North Shore Agency,NE
PN000132,CIN1132,Diya,Iyer,781-80-8033, diya.iyer@EXAMPLE.COM ,,765 Sector 62,Noida,  Uttar Pradesh  , ,HOME,2025-01-12,2025-10-09,"80,646.00",ANNUAL,n,Lapsed,Separated,A002,Metro Mutual Partners,NE
PN000133,CIN1133,Pari,Nair,286-27-7967,pari.nairexample.com,+91 92182 53202,  21 Lodhi Rd  ,Lucknow,Uttar Pradesh,226-010,AUTO,2023-06-23,2024/03/19,"8,999.00",ANNUAL,N,Lapsed,Single,A001,North Shore Agency,NE
PN000134,CIN1134,Ishita,Khan,199563426,ishita.khanexample.com,03791-872951,  964 JM Road  ,New Delhi,Delhi,     ,AUTO,2024-02-30,2024/05/11,"249,261.00",ANNUAL,n,Active,Separated,A004,Downtown Assurance,NE
PN000135,CIN1135,Ishita,Reddy,898518778, ,N/A,813 Lodhi Rd,  Lucknow  ,Uttar Pradesh,  0211O  ,RENTERS,2024-07-30,2025-01-26,"137,865.00",ANNUAL,n,Cancelled,Divorced,A002,Metro Mutual Partners,NE
PN000136,CIN1136,Arjun,Mehta,139535047, arjun.mehta@EXAMPLE.COM ,+91 98083 44932,  455 Sector 62  ,  Bengaluru  ,Karnataka,  0211O  ,HOME,2025/01/23,2025-10-20,"4,714.00",Monthly,y,Active,Single,A002,Metro Mutual Partners,NE
PN000137,CIN1137,Aarav,Nair,137-70-5546, ,09121-123040,214 Park Street,Bengaluru,Karnataka,  560001  ,RENTERS,2023/05/15,2023/11/11,"150,575.00",ANNUAL,N,Cancelled,Widowed,A201,Empire Coverage,NY
PN000138,CIN1138,Sanvi,Mehta,,sanvi.mehtaexample.com,N/A,971 Sector 62,Pune,Maharashtra,  0211O  ,HOME,2024-04-14,2025-01-09,"82,494.00",Monthly,Y,Cancelled,Divorced,A002,Metro Mutual Partners,NE
PN000139,CIN1139,Pari,Gupta,, pari.gupta@EXAMPLE.COM ,+91 85113 32988,486 MG Road,Mumbai,Maharashtra,  0211O  ,AUTO,2023/02/05,2023-08-04,,QUARTERLY,N,Active,Divorced,A201,Empire Coverage,NY
PN000140,CIN1140,Sara,Iyer,245547239, ,07076-744930,770 JM Road,Hyderabad,  Telangana  ,  500-001  ,AUTO,2023/04/03,2023-12-29,"212,151.00",QUARTERLY,Y,Cancelled,Single,A201,Empire Coverage,NY
PN000141,CIN1141,Sara,Mehta,238691704,sara.mehta@example.com,N/A,  544 MG Road  ,Lucknow,  UP  , ,HOME,2023/04/16,2024-01-11,"134,521.00",ANNUAL,N,Active,Single,A201,Empire Coverage,NY
PN000142,CIN1142,Reyansh,Iyer,,reyansh.iyer@example.com,N/A,  181 Sector 62  ,Pune,Maharashtra,0211O,HOME,2025/01/08,2026/01/08,"135,803.00",QUARTERLY,Y,Lapsed,Widowed,A004,Downtown Assurance,NE
PN000143,CIN1143,Sanvi,Verma,374-98-8877,sanvi.verma@example.com,+91 99339 21532,498 Lodhi Rd,Lucknow,Uttar Pradesh,  226010  ,RENTERS,2024/03/23,2024-12-18,"19,827.00",ANNUAL,n,Active,Separated,A201,Empire Coverage,NY
PN000144,CIN1144,Krishna,Gupta,,krishna.gupta@example.com,05169-520390,351 Park Street,Hyderabad,  Telangana  ,  56A012  ,RENTERS,2023-07-11,2024-01-07,"267,234.00",ANNUAL,n,Active,Separated,A002,Metro Mutual Partners,NE
PN000145,CIN1145,Vihaan,Gupta,,vihaan.gupta@example.com,+91 91278 40642,  828 Lodhi Rd  ,  Jaipur  ,Rajasthan,  302-001  ,RENTERS,2023-10-20,2024/04/17,"169,145.00",QUARTERLY,y,Lapsed,Married,A101,Sun Valley Insurance,Mid-Atl
PN000146,CIN1146,Sanvi,Khan,839506799, ,,  919 Park Street  ,  Hyderabad  ,  Telangana  ,  56A012  ,RENTERS,2023/04/30,2023/10/27,"218,485.00",ANNUAL,y,Lapsed,Separated,A002,Metro Mutual Partners,NE
PN000147,CIN1147,Sai,Verma,701-86-9367,sai.verma@example.com,+91 98759 36948,925 Lodhi Rd,Noida,UP, ,RENTERS,2025-01-18,2025/10/15,"54,471.00",QUARTERLY,y,Active,Married,A003,Bay State Brokers,NE
PN000148,CIN1148,Vivaan,Verma,, vivaan.verma@EXAMPLE.COM ,06293-701061,  15 Lodhi Rd  ,Chennai,Tamil Nadu,  56A012  ,AUTO,2023-02-26,2023/08/25,"169,673.00",Monthly,N,Active,Divorced,A003,Bay State Brokers,NE
PN000149,CIN1149,Anika,Nair,233547403,anika.nair@example.com,05242-816985,  897 MG Road  ,  New Delhi  ,Delhi,  0211O  ,RENTERS,2024-10-18,2025-04-16,"139,152.00",QUARTERLY,n,Active,Divorced,A003,Bay State Brokers,NE
PN000150,CIN1150,Navya,Reddy,, ,+91 70250 55221,  609 Sector 62  ,  Chennai  ,  Tamil Nadu  ,600001,RENTERS,2023-08-25,2024-08-24,"152,410.00",QUARTERLY,y,Lapsed,Single,A004,Downtown Assurance,NE
PN000151,CIN1151,Ayaan,Patil,,ayaan.patilexample.com,N/A,936 Lodhi Rd,Kolkata,West Bengal, ,HOME,2024/06/10,2025-06-10,"-276,636.00",Monthly,y,Lapsed,Single,A001,North Shore Agency,NE
PN000152,CIN1152,Reyansh,Gupta,791-21-2276,reyansh.gupta@example.com,+91 90293 67848,  856 MG Road  ,Hyderabad,  Telangana  ,500-001,HOME,2024-05-02,2024/10/29,,ANNUAL,n,Active,Widowed,A004,Downtown Assurance,NE
PN000153,CIN1153,Vihaan,Reddy,427-16-7302,vihaan.reddy@example.com,09024-243301,  297 JM Road  ,Bengaluru,  Karnataka  ,56A012,AUTO,2024-10-02,2025/06/29,"124,600.00",ANNUAL,n,Lapsed,Divorced,A004,Downtown Assurance,NE
PN000154,CIN1154,Sanvi,Gupta,208-96-4293, ,+91 75141 72515,372 JM Road,  New Delhi  ,  Delhi  ,  0211O  ,RENTERS,2024-09-29,2025-09-29,"51,423.00",QUARTERLY,y,Cancelled,Widowed,A004,Downtown Assurance,NE
PN000155,CIN1155,Vivaan,Reddy,446323069,vivaan.reddyexample.com,07293-492592,302 JM Road,Bengaluru,  Karnataka  ,560001,HOME,2023/04/18,2024/04/17,"-34,905.00",QUARTERLY,N,Cancelled,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000156,CIN1156,Vihaan,Gupta,564-85-9873, ,04875-290576,  794 MG Road  ,Kolkata,West Bengal,700016,HOME,2024/10/25,2025-04-23,"77,668.00",QUARTERLY,Y,Lapsed,Married,A101,Sun Valley Insurance,Mid-Atl
PN000157,CIN1157,Ishita,Mukherjee,515-73-2460, ,N/A,754 Sector 62,  New Delhi  ,Delhi,110-003,RENTERS,2024-02-30,2024/03/20,"218,420.00",Monthly,Y,Cancelled,Divorced,A003,Bay State Brokers,NE
PN000158,CIN1158,Aarav,Gupta,, ,N/A,17 JM Road,Pune,  Maharashtra  ,0211O,AUTO,2023/03/09,2023/12/04,"25,895.00",ANNUAL,y,Lapsed,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000159,CIN1159,Anika,Nair,,anika.nairexample.com,02489-722197,524 Sector 62,  Lucknow  ,  Uttar Pradesh  ,  226-010  ,AUTO,2024-05-08,2024-11-04,"48,254.00",QUARTERLY,N,Lapsed,Married,A201,Empire Coverage,NY
PN000160,CIN1160,Sanvi,Khan,564571355, ,,  465 Park Street  ,Jaipur,Rajasthan,  0211O  ,RENTERS,2023-09-08,2024-09-07,"167,633.00",Monthly,Y,Lapsed,Widowed,A003,Bay State Brokers,NE
PN000161,CIN1161,Anika,Iyer,787-34-7121,anika.iyerexample.com,04597-963488,791 JM Road,  Mumbai  ,  Maharashtra  ,400-001,HOME,2024/02/27,2025/02/26,"17,992.00",ANNUAL,n,Active,Married,A003,Bay State Brokers,NE
PN000162,CIN1162,Myra,Iyer,583162048,myra.iyer@example.com,01406-655829,  452 Park Street  ,Pune,Maharashtra,56A012,HOME,2023-09-14,2024/06/10,"269,931.00",Monthly,n,Active,Divorced,A001,North Shore Agency,NE
PN000163,CIN1163,Vivaan,Nair,378-79-8591, vivaan.nair@EXAMPLE.COM ,09550-461778,  227 Sector 62  ,Hyderabad,  Telangana  ,500001,AUTO,2024/03/27,2024/09/23,"274,376.00",ANNUAL,N,Lapsed,Separated,A001,North Shore Agency,NE
PN000164,CIN1164,Arjun,Iyer,995798062,arjun.iyer@example.com,N/A,474 MG Road,  Pune  ,Maharashtra,  411001  ,RENTERS,2024/03/28,2024-12-23,,QUARTERLY,y,Cancelled,Widowed,A003,Bay State Brokers,NE
PN000165,CIN1165,Navya,Khan,352331801,navya.khanexample.com,N/A,  636 MG Road  ,  Hyderabad  ,Telangana,0211O,HOME,2024/03/14,2025/03/14,"144,162.00",ANNUAL,N,Lapsed,Divorced,A002,Metro Mutual Partners,NE
PN000166,CIN1166,Aadhya,Gupta,744-89-2084, ,+91 92356 30682,404 Sector 62,Noida,Uttar Pradesh, ,RENTERS,2023-09-08,2024/09/07,"296,603.00",QUARTERLY,Y,Lapsed,Single,A002,Metro Mutual Partners,NE
PN000167,CIN1167,Sai,Sharma,231378538, ,N/A,  295 MG Road  ,Hyderabad,Telangana,500001,RENTERS,2024-04-04,2024/10/01,"95,280.00",Monthly,n,Lapsed,Separated,A002,Metro Mutual Partners,NE
PN000168,CIN1168,Ishita,Gupta,952-77-4651, ,01830-963358,495 MG Road,Chennai,Tamil Nadu,600-001,HOME,2023/11/05,2024/11/04,"159,309.00",ANNUAL,y,Cancelled,Widowed,A003,Bay State Brokers,NE
PN000169,CIN1169,Aadhya,Khan,637456415,aadhya.khanexample.com,06386-256005,283 Lodhi Rd,Bengaluru,  Karnataka  ,560-001,HOME,2025-03-05,2026/03/05,"64,922.00",ANNUAL,N,Active,Single,A003,Bay State Brokers,NE
PN000170,CIN1170,Aadhya,Patil,560346375, ,,  11 JM Road  ,Chennai,Tamil Nadu,600-001,RENTERS,2023/07/22,2024-01-18,,Monthly,y,Lapsed,Single,A001,North Shore Agency,NE
PN000171,CIN1171,Sanvi,Reddy,871-50-7801, ,+91 96993 55279,  102 JM Road  ,Jaipur,Rajasthan,     ,AUTO,2024/07/30,2025-04-26,"281,847.00",Monthly,N,Cancelled,Separated,A002,Metro Mutual Partners,NE
PN000172,CIN1172,Aadhya,Mukherjee,821-57-8847, aadhya.mukherjee@EXAMPLE.COM ,06709-471720,  323 Park Street  ,Kolkata,West Bengal, ,RENTERS,2025-01-27,2025-07-26,"180,231.00",QUARTERLY,N,Active,Single,A001,North Shore Agency,NE
PN000173,CIN1173,Myra,Reddy,762-68-6039,myra.reddy@example.com,+91 91756 18118,273 Park Street,  Noida  ,Uttar Pradesh,  56A012  ,RENTERS,2023/12/01,2024-08-27,"141,421.00",ANNUAL,y,Cancelled,Married,A101,Sun Valley Insurance,Mid-Atl
PN000174,CIN1174,Anika,Reddy,814447067,anika.reddyexample.com,N/A,373 MG Road,  Kolkata  ,West Bengal,700016,HOME,2024/10/19,2025/04/17,"127,910.00",Monthly,Y,Active,Separated,A003,Bay State Brokers,NE
PN000175,CIN1175,Navya,Mukherjee,858635281,navya.mukherjee@example.com,+91 93410 53750,582 Sector 62,Jaipur,  Rajasthan  , ,RENTERS,2023/01/02,2023/09/29,"36,938.00",QUARTERLY,y,Cancelled,Widowed,A002,Metro Mutual Partners,NE
PN000176,CIN1176,Sara,Verma,564807877,sara.vermaexample.com,02656-311994,953 MG Road,Hyderabad,  Telangana  ,0211O,RENTERS,2024/11/29,2025-11-29,"-154,396.00",ANNUAL,N,Active,Married,A201,Empire Coverage,NY
PN000177,CIN1177,Myra,Patil,, ,N/A,175 Park Street,New Delhi,  Delhi  ,  110-003  ,HOME,2024-08-26,2025-02-22,"101,843.00",Monthly,Y,Lapsed,Married,A003,Bay State Brokers,NE
PN000178,CIN1178,Vivaan,Gupta,, ,+91 86184 77775,950 Park Street,  Jaipur  ,Rajasthan,     ,RENTERS,2023-08-11,2024/05/07,"255,243.00",Monthly,Y,Active,Widowed,A101,Sun Valley Insurance,Mid-Atl
PN000179,CIN1179,Sara,Mukherjee,, sara.mukherjee@EXAMPLE.COM ,+91 80315 97118,  536 JM Road  ,  Noida  ,UP,56A012,HOME,2023/10/19,2024-04-16,"133,674.00",Monthly,y,Lapsed,Widowed,A101,Sun Valley Insurance,Mid-Atl
PN000180,CIN1180,Krishna,Khan,409268930, krishna.khan@EXAMPLE.COM ,,486 Park Street,Noida,  UP  ,201301,HOME,2024/04/24,2025-04-24,"71,008.00",QUARTERLY,N,Lapsed,Divorced,A002,Metro Mutual Partners,NE
PN000181,CIN1181,Myra,Khan,,myra.khan@example.com,N/A,794 Park Street,Kolkata,West Bengal,56A012,AUTO,2024-04-22,2025-04-22,"290,508.00",ANNUAL,y,Lapsed,Widowed,A001,North Shore Agency,NE
PN000182,CIN1182,Vihaan,Patil,772-96-2524,vihaan.patil@example.com,+91 73562 18823,412 Lodhi Rd,New Delhi,Delhi,  110003  ,AUTO,2023-08-30,2024-02-26,"183,609.00",QUARTERLY,Y,Active,Divorced,A002,Metro Mutual Partners,NE
PN000183,CIN1183,Ishita,Patil,170-44-8688, ishita.patil@EXAMPLE.COM ,+91 85754 31174,  841 JM Road  ,  Pune  ,Maharashtra,  0211O  ,HOME,2023-10-18,2024/10/17,"91,967.00",Monthly,N,Lapsed,Separated,A001,North Shore Agency,NE
PN000184,CIN1184,Pari,Patil,785-45-9185, ,04444-190858,889 Park Street,  Chennai  ,Tamil Nadu,0211O,HOME,2023-12-09,2024/09/04,"53,747.00",QUARTERLY,y,Cancelled,Separated,A002,Metro Mutual Partners,NE
PN000185,CIN1185,Reyansh,Khan,557865086,reyansh.khan@example.com,+91 90778 73710,600 MG Road,  Jaipur  ,Rajasthan,56A012,HOME,2023/12/12,2024/12/11,"17,150.00",Monthly,y,Cancelled,Single,A002,Metro Mutual Partners,NE
PN000186,CIN1186,Krishna,Reddy,753447197,krishna.reddy@example.com,05536-467975,699 Sector 62,Chennai,  Tamil Nadu  ,56A012,RENTERS,2024/01/31,2025/01/30,"252,021.00",Monthly,Y,Active,Single,A201,Empire Coverage,NY
PN000187,CIN1187,Ishita,Mukherjee,, ,N/A,  675 JM Road  ,  Bengaluru  ,  Karnataka  ,56A012,AUTO,2023-02-02,2023/10/30,"30,138.00",Monthly,y,Lapsed,Single,A001,North Shore Agency,NE
PN000188,CIN1188,Aditya,Khan,764-49-3607, ,09117-355995,972 Park Street,  Hyderabad  ,  Telangana  ,500-001,HOME,2024/04/07,2024/10/04,"45,702.00",QUARTERLY,n,Lapsed,Married,A002,Metro Mutual Partners,NE
PN000189,CIN1189,Myra,Nair,768-29-9997,myra.nairexample.com,+91 76427 32098,  682 Lodhi Rd  ,  Noida  ,  UP  ,  201-301  ,RENTERS,2023-07-12,2024-01-08,"187,813.00",Monthly,n,Cancelled,Married,A004,Downtown Assurance,NE
PN000190,CIN1190,Navya,Khan,715-47-1942,navya.khanexample.com,+91 79101 89085,270 MG Road,  Chennai  ,  Tamil Nadu  ,  0211O  ,AUTO,2024-02-30,2025-11-24,"38,100.00",Monthly,n,Lapsed,Single,A001,North Shore Agency,NE
PN000191,CIN1191,Ananya,Gupta,475795209, ananya.gupta@EXAMPLE.COM ,,  899 MG Road  ,Chennai,Tamil Nadu,600-001,RENTERS,2024/05/21,2025-02-15,"213,541.00",QUARTERLY,Y,Active,Single,A201,Empire Coverage,NY
PN000192,CIN1192,Krishna,Sharma,129-99-6028, krishna.sharma@EXAMPLE.COM ,,  108 MG Road  ,  Bengaluru  ,  Karnataka  , ,RENTERS,2024-01-10,2024/07/08,"199,350.00",Monthly,y,Cancelled,Divorced,A002,Metro Mutual Partners,NE
PN000193,CIN1193,Ayaan,Sharma,247496220,ayaan.sharmaexample.com,N/A,837 Park Street,  Mumbai  ,Maharashtra,400001,HOME,2023-02-12,2023-11-09,"135,730.00",Monthly,Y,Lapsed,Divorced,A001,North Shore Agency,NE
PN000194,CIN1194,Anika,Reddy,, ,N/A,  875 Sector 62  ,Kolkata,  West Bengal  ,  56A012  ,RENTERS,2024-11-10,2025/11/10,"244,176.00",QUARTERLY,N,Active,Separated,A001,North Shore Agency,NE
PN000195,CIN1195,Sai,Nair,830-21-7797, sai.nair@EXAMPLE.COM ,+91 89850 72341,  611 Sector 62  ,Jaipur,  Rajasthan  ,  0211O  ,AUTO,2024/04/11,2025-04-11,"87,629.00",Monthly,Y,Lapsed,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000196,CIN1196,Vivaan,Sharma,824412774, ,09689-775109,666 MG Road,Kolkata,West Bengal,700-016,AUTO,2024-03-11,2024/09/07,"155,485.00",Monthly,y,Lapsed,Widowed,A003,Bay State Brokers,NE
PN000197,CIN1197,Arjun,Iyer,, ,N/A,529 Park Street,  Lucknow  ,UP, ,RENTERS,2023-05-04,2023-10-31,"179,532.00",Monthly,n,Lapsed,Married,A101,Sun Valley Insurance,Mid-Atl
PN000198,CIN1198,Arjun,Gupta,,arjun.guptaexample.com,,579 Lodhi Rd,Mumbai,Maharashtra,56A012,HOME,2023/06/25,2024-03-21,"270,414.00",ANNUAL,n,Cancelled,Single,A002,Metro Mutual Partners,NE
PN000199,CIN1199,Ayaan,Reddy,361-89-5378, ,,899 Park Street,  Kolkata  ,  West Bengal  ,     ,HOME,2024/01/27,2024/07/25,"179,637.00",ANNUAL,y,Cancelled,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000200,CIN1200,Myra,Khan,271518568, myra.khan@EXAMPLE.COM ,05702-987587,655 Sector 62,  Noida  ,UP,56A012,AUTO,2024/03/28,2025-03-28,"58,910.00",ANNUAL,n,Lapsed,Separated,A101,Sun Valley Insurance,Mid-Atl
PN000201,CIN1201,Vivaan,Patil,559214680, vivaan.patil@EXAMPLE.COM ,,  111 Park Street  ,New Delhi,  Delhi  ,     ,AUTO,2023/07/21,2024/04/16,,QUARTERLY,y,Active,Single,A002,Metro Mutual Partners,NE
PN000202,CIN1202,Sai,Iyer,801-50-1682,sai.iyer@example.com,,74 Sector 62,Mumbai,  Maharashtra  ,0211O,HOME,2025-01-06,2025-07-05,"84,656.00",Monthly,N,Cancelled,Separated,A101,Sun Valley Insurance,Mid-Atl
PN000203,CIN1203,Anika,Sharma,404-46-6694, ,+91 91695 87746,969 JM Road,  New Delhi  ,Delhi,  110003  ,AUTO,2023-03-04,2023-08-31,"113,158.00",ANNUAL,Y,Cancelled,Single,A004,Downtown Assurance,NE
PN000204,CIN1204,Myra,Gupta,,myra.gupta@example.com,N/A,454 Lodhi Rd,Noida,  UP  ,  201-301  ,RENTERS,2023-08-10,2024-02-06,"259,547.00",Monthly,n,Lapsed,Single,A001,North Shore Agency,NE
PN000205,CIN1205,Krishna,Verma,172-43-5484, ,,740 Park Street,  Bengaluru  ,  Karnataka  ,0211O,HOME,2024-11-05,2025/05/04,"126,849.00",Monthly,Y,Lapsed,Separated,A101,Sun Valley Insurance,Mid-Atl
PN000206,CIN1206,Muhammad,Patil,675805994, ,+91 75326 95370,  497 Lodhi Rd  ,Mumbai,Maharashtra,400001,AUTO,2023-02-24,2023/11/21,"96,687.00",ANNUAL,N,Lapsed,Married,A201,Empire Coverage,NY
PN000207,CIN1207,Pari,Nair,689466807, ,+91 97415 19167,  379 Lodhi Rd  ,Bengaluru,  Karnataka  ,0211O,AUTO,2025-01-21,2025-10-18,"19,357.00",ANNUAL,N,Lapsed,Widowed,A001,North Shore Agency,NE
PN000208,CIN1208,Vihaan,Mukherjee,767-31-8340,vihaan.mukherjee@example.com,N/A,299 Lodhi Rd,Mumbai,  Maharashtra  , ,AUTO,2024/03/04,2025-03-04,"296,414.00",Monthly,N,Active,Separated,A201,Empire Coverage,NY
PN000209,CIN1209,Ishita,Nair,638604261, ,,  27 Lodhi Rd  ,Pune,  Maharashtra  ,     ,HOME,2023/10/12,2024/04/09,"297,039.00",QUARTERLY,Y,Cancelled,Widowed,A001,North Shore Agency,NE
PN000210,CIN1210,Aditya,Nair,360-84-9246, ,,203 JM Road,Hyderabad,  Telangana  , ,HOME,2024/02/18,2025-02-17,"14,151.00",QUARTERLY,N,Cancelled,Single,A201,Empire Coverage,NY
PN000211,CIN1211,Vihaan,Nair,,vihaan.nairexample.com,,160 MG Road,Kolkata,  West Bengal  ,0211O,AUTO,2024-02-30,2024-06-19,"190,368.00",QUARTERLY,y,Lapsed,Separated,A003,Bay State Brokers,NE
PN000212,CIN1212,Muhammad,Patil,,muhammad.patil@example.com,,488 MG Road,  Mumbai  ,Maharashtra,400-001,HOME,2024/10/26,2025/04/24,"91,575.00",ANNUAL,Y,Active,Widowed,A002,Metro Mutual Partners,NE
PN000213,CIN1213,Muhammad,Mukherjee,485-56-9697,muhammad.mukherjee@example.com,+91 81865 19200,783 Park Street,Lucknow,UP,0211O,HOME,2023/05/06,2024-05-05,"-75,746.00",QUARTERLY,n,Active,Married,A003,Bay State Brokers,NE
